artifact_type,file_pattern,description,depends_on,affected_by
agents_md,AGENTS.md,Central operating instructions and behavioral directives,"SOUL.md,IDENTITY.md,skills/","persona changes,skill changes,boundary changes"
soul_md,SOUL.md,Personality traits and behavioral principles,,"persona changes,communication style changes"
user_md,USER.md,User profile and context preferences,SOUL.md,"persona changes,user preference changes"
identity_md,IDENTITY.md,"Agent identity: name, creature, vibe, emoji, avatar",SOUL.md,"name changes,persona changes,identity changes"
tools_md,TOOLS.md,Local tool configuration notes,AGENTS.md,"tool changes,environment changes"
heartbeat_md,HEARTBEAT.md,Periodic task checklist with cron-style scheduling,AGENTS.md,"task changes,schedule changes"
memory_md,MEMORY.md,Curated long-term memory (free-form),AGENTS.md,"memory updates,agent learning"
boot_md,BOOT.md,Startup instructions executed every session,AGENTS.md,"session flow changes,initialization changes"
bootstrap_md,BOOTSTRAP.md,First-run setup script (deleted after use),AGENTS.md,"first-run changes,setup changes"
openclaw_json,openclaw.json,Runtime configuration (workspace path and model settings),"AGENTS.md,skills/","model changes,workspace changes,feature flag changes"
skills_dir,skills/*/SKILL.md,Skill definitions with name + description frontmatter and instructions,AGENTS.md,"skill additions,skill removals,skill modifications"
skill_scripts,skills/*/scripts/*,Executable skill code (Python/Bash),skills/*/SKILL.md,"script changes,dependency changes"
skill_references,skills/*/references/*,Skill reference documentation loaded into context,skills/*/SKILL.md,"reference updates,documentation changes"
skill_assets,skills/*/assets/*,Skill asset files used in output,skills/*/SKILL.md,"asset updates,template changes"
memory_logs,memory/YYYY-MM-DD.md,Daily session note logs,MEMORY.md,"session activity,memory accumulation"
heartbeat_state,memory/heartbeat-state.json,Heartbeat execution tracking state,HEARTBEAT.md,"heartbeat runs,task completion"
